Id,SalePrice
2001,151865.18338312785
2002,198830.34116742157
2003,103814.67769120014
2004,89233.95691576114
2005,113278.25394505997
2006,123165.86488553052
2007,120364.80245629397
2008,123011.4527372065
2009,168484.25567223324
2010,132997.30233764765
2011,134030.9349352982
2012,137259.151952884
2013,94327.23868904728
2014,139423.41304785848
2015,118180.84073065023
2016,129820.45999822847
2017,122652.56304613024
2018,120953.0569975888
2019,126768.71627455913
2020,125618.35753159772
2021,100987.83103641063
2022,170274.16068119375
2023,158752.069756697
2024,150765.6339237009
2025,121378.50930811674
2026,136906.16552790705
2027,133210.75278104338
2028,142271.22927646397
2029,76606.48225691731
2030,83195.98355570907
2031,146360.68136170154
2032,118801.18459470301
2033,179161.7649070276
2034,122488.50593183553
2035,125430.27690273782
2036,193912.59594627097
2037,165315.07276607846
2038,97663.4921946677
2039,90176.98949992607
2040,119388.04059988068
2041,118239.51112962325
2042,122797.07699645885
2043,85208.96896883266
2044,73464.90760056101
2045,215235.11422997012
2046,235212.04067308162
2047,101898.32814033306
2048,117362.02122526149
2049,125303.85933845419
2050,168720.32765630636
2051,110674.9390960261
2052,105541.78534722072
2053,149422.56595868806
2054,126787.85615669873
2055,134033.19164685396
2056,117672.43442369215
2057,111407.63706016213
2058,126815.36460347379
2059,117725.68704264163
2060,125612.96718388691
2061,127428.67368001417
2062,132805.9601425954
2063,143993.6665174089
2064,117666.77188114726
2065,164979.27189986123
2066,183694.36970803974
2067,142796.9999320692
2068,161047.5965654107
2069,161207.27197839305
2070,140059.8427424925
2071,82893.1119482576
2072,266579.99278605357
2073,193201.7466850598
2074,217939.09651031985
2075,150304.9070090896
2076,152608.12674616498
2077,91604.70698405392
2078,260823.04980506934
2079,223686.12448032567
2080,156370.488863972
2081,115301.30597751749
2082,89649.81736352087
2083,115879.17851422234
2084,90904.98233059763
2085,134586.681033654
2086,136077.69090004652
2087,137261.87971200614
2088,90315.07088784702
2089,119637.22541031768
2090,173284.43568228904
2091,183558.81489109455
2092,220326.08401183304
2093,287661.2369140892
2094,247825.0567736134
2095,209535.22625760382
2096,222243.54373503505
2097,362122.3392018886
2098,407339.84408457944
2099,267237.3035512211
2100,313350.80834543635
2101,235271.48544989113
2102,204228.8790645982
2103,265858.1591887643
2104,358943.3023390495
2105,202686.842139158
2106,192087.86204358353
2107,192360.2251734256
2108,200387.86318259942
2109,228970.33247301466
2110,234152.30447074794
2111,181126.65620482643
2112,212028.1982887689
2113,189885.9104963923
2114,231306.10060999068
2115,209775.7586693339
2116,263943.9180882063
2117,242879.64401302545
2118,225158.6985827162
2119,242029.7535351661
2120,151559.86799323725
2121,139888.37716946396
2122,181569.6898083083
2123,171214.78716975352
2124,191414.4063565379
2125,144503.0731387711
2126,148980.95049083803
2127,115082.39174290383
2128,200780.3383208348
2129,238678.28454530533
2130,207582.0940608579
2131,191225.1722884391
2132,220932.21330342957
2133,213465.57986294333
2134,189323.30979895173
2135,122474.28057150668
2136,139798.6415708018
2137,141267.24992552405
2138,141041.51358475216
2139,123413.84900699022
2140,131058.3106538357
2141,121418.35731466122
2142,132478.77243373508
2143,152639.5567932317
2144,123064.94829336119
2145,296140.87534351344
2146,253426.19123767133
2147,245966.21047240804
2148,199531.1293167125
2149,229213.9475358684
2150,195776.2935542895
2151,279227.3044514254
2152,242153.45814823077
2153,295915.87043394835
2154,234077.3381166355
2155,279866.63204425527
2156,254019.12616151376
2157,141842.11522865144
2158,226793.29326137732
2159,207608.7020087467
2160,196002.56262913992
2161,189630.30853825048
2162,206936.57637184797
2163,196737.11296579262
2164,189501.29846547876
2165,189968.46071957788
2166,183179.62243453425
2167,162771.700555315
2168,129545.47734817704
2169,125224.67304114731
2170,125972.292274445
2171,114371.31692810025
2172,134884.08953979646
2173,145143.9940977214
2174,114768.07100210538
2175,126638.4987679984
2176,146958.3490268943
2177,151736.88955820352
2178,152903.96834535617
2179,165886.1854732804
2180,164379.91938516285
2181,1381204.677800733
2182,968047.2700104985
2183,152551.48293073772
2184,128219.05675182583
2185,79824.19014192767
2186,114626.51174280666
2187,89315.8455837983
2188,91169.95824598196
2189,116197.69697835909
2190,100508.10294752923
2191,109420.8471344245
2192,103954.06913699796
2193,104210.43078881544
2194,111365.3516122369
2195,181825.28803229492
2196,145537.05880294772
2197,159952.80004013257
2198,92641.09753160583
2199,149283.8042151254
2200,155397.3484199584
2201,141058.3132645888
2202,147606.7488826553
2203,125788.8805369893
2204,167584.93051613247
2205,143040.6842262349
